SUPPLIER,CONTACT,LOCATION,DELIVERY AREA,TIMINGS,DAYS,DELIVERY FEE,NOTES,VERIFIED?
Samrat Mini Mart,8766742162/7768942153,ALDONA (NORTH GOA),"ALDONA CONSTITUENCY, BICHOLIM,THIVIM AND PORVORIM",7am- 7pm,Everyday,FREE DELIVERY/PAY FOR GROCERIES,FREE DELIVERY SERVICE,YES
"Sho-Faz
",9764599076,Colva - Goa,"Colva, Benaulim, Betalbatim, Margao",10am - 6.30pm,Everyday,Delivery Free,"No Minimum charges
Free delivery for the mentioned locations
Do not make calls, only whatapp the list of items, address, name and contact details, also pin the location of delivery on whatapp) 
Mode of payment : Cash or Swipe card
Pre order 24 hours in advance",YES
Trimart Supermarket,9021902918,"Tridentia Panache, Ground Floor, nr. Chinmaya Mission, Gogol Housing Board, Margao, Goa 403601","Margao, Borda, Arlem, Fatorda, Maina, Curtorim",10am-7pm,Everyday,Free if the order is above 500/- rs for the mentioned areas,"Free delivery for the mentioned locations if the order is above 500 rs.. 
Do not make calls, only whatapp the list of items, address, name and contact details, also pin the location of delivery on whatapp) 
Mode of payment : Cash or Swipe card or google pay/phone pay.. 
Pre order 24 hours in advance",YES
Magsons,9822400070,"Shop 1, Ground Floor, Natural Lifestyle's Opp Holy Rosary Church, Fatorda, Margao, Goa 403602","Loutolim, Raia, Navelim, Margao, Curtorim, Fatorda, Arlem",9am-6pm,Everyday,Free only if order is above ₹1000/-,"Free delivery for the mentioned locations if order us above 1000/- 
Do not make calls, only whatapp the list of items, address, name and contact details, also pin the location of delivery on whatapp) 
Mode of payment : Cash or Swipe card or online (Gpay, Phone pay etc) 
Pre order 24 hours in advance",YES
Lester,9689885224 .9325378358 .8956172444,Margao-Goa,"Whole South Goa, but call to confirm the area",10am-6pm,Everyday,Free delivery,"The given person isn't a supplier, however, they undertake delivery for everyone in need.. 
Requirements need to be sent on whatsApp, along with contact details(name and adress) and pin the location . 
Orders to be made 24 hours in advance.",YES
Grow Mania,7522967528,"Borda, Margao - Goa","Margao, Borda, Fatorda, Arlem",9am - 5pm,Everyday,"Free only if order is above 350/- rs. If not, max delivery charges are 100/-rs","Only deals with fruits and vegetables. 
Mode of payment: cash and online
Pre ordered delivery only, order 24 hours in advance 
WhatsApp list of items, address, name , contact details and pin location",YES
farm basket,9923606015/937065832, Bicholim Goa,Bicholim,9am-5pm,Everyday,minimum orders of 200 rs for free delivery.,Notes: kindly place orders in the evening so that fresh fruits and vegetables get delivered at your place the next day.. ,YES
Tumchi Bhagi,7798228926,"Bastora Tarir, near Milagres Church Mapusa Goa","Mapusa, Porvorim, Panjim, Siolim",9am-6pm,Everyday,"Min order of 500 rs for Mapusa, 800 rs for Porvorim, 1000rs for panjim, 800 rs for Siolim.. 
If not, ₹100 max for delivery  charges.. ","Mode of payment: COD and online. WhatsApp the list of vegetables and fruits, adress and contact details on the given whatsApp number.
Pre orders only (delivery on the next day)",YES
Lojaduicar,8552966198,Mapusa,Whole of Mapusa,9am-6pm,Everyday,Free for orders above ₹500,"WhatsApp the list, name and contact details of the person, delivered in 1-2 on the same day.  
Cod and online payment.",YES
Ovigo,9689885224,Borda,Whole Goa,9am-3pm,Everyday,Free delivery for South Goa and rs.20 for North Goa,"Deals with Goan masalas, cold storage items like meat, vegetables, fruits and other groceries as well
Send your list, contact details and pin location on whatapp
Pre orders only
Payment: Cod and online",YES
G-Mart,"9067812319, 7045559850, 7972197233","Shop.2, Shri Ram Bhavan Near Hotel Annapuma Margao Goa","Borda, Fatorda, Margao, Arlem, Navelim, Nuvem, Maina, Curtorim, Raia, Loutolim,etc (up to 10km radius from Margao) ",9.30am-1pm and 3.30pm-6pm,Everyday,Free delivery for order of min rs.400,"Cod and online payment
Pre orders 24 hours in advance 
Send grocery list, contact details name and pin location on any one of the mentioned numbeCod or online payment.. 
WhatsApp grocery list, name and details ",YES
Arvind Gupta,7040089289,Vasco,Entire Vasco,9am to 6pm,Everyday,Free delivery for orders above 2000/-rs,"Deals with all grocery items
Mode of payment: cash and online
Pre ordered delivery only, order 24 hours in advance 
WhatsApp list of items, address, name , contact details and pin location",YES
Kasim (fruits & Vegetables only,9764632796,Vasco,Entire Vasco ,9am to 6pm,Everyday,Free delivery for orders above 500/-rs ,"Payment : Cod and online
Preorders only. Will be delivered the next day. 
Send list, name and contact details and pin whatsApp location",YES
Nitin General Stores ,9890385226,Vasco,Entire Vasco,9am to 6pm,Everyday ,Free delivery for orders above 500/- rs,"Payment : Cod and online
Preorders only. Will be delivered the next day. 
Send list, name and contact details and pin whatsApp location",YES
Reema (only fruits & Vegetables,7558662519,Vasco,Entire Vasco,9am-6pm,Everyday,Delivery free for orders above rs.500,"Payment : Cod and online
Preorders only. Will be delivered the next day. 
Send list, name and contact details and pin whatsApp location",YES
"Jaffar ( vegetables, fruits and Masala)",8010018468,Vasco,Any area from Vasco Market till MES College,,Everyday,50/-rs irrespective of whatever you buy,"Payment : Online and COD
pre-order 24 hours in advance. Will be delivered next day.  Send grocery list, contact details, and pin location on whatsapp",YES
Dayanand Naik,9850476476,Shiroda Bazar,Shiroda,Full Day,Everyday,Free Delivery,Whatsapp the delivery details,YES
Vijaykumar Store,8007451554/8668453384,Ponda,"In and around Bandura, Ponda",Full Day,Everyday,Free Delivery,Send Delivery details on Whatsapp,YES
Balaji Super market,,Porvorim,Delivery in and around Porvorim and Socorro,8 am- 1 pm,Everyday,Free Delivery,"On call or whatsapp, 500 minimum, cash or online payment",YES
