NAME OF HOSPITALS,TYPE,FACILITY,CONTACT NOS,LOCATION,ADDRESS,NO of BEDS,COVID BEDS,OXYGEN BEDS,NODAL OFFICER,CONTACT NUMBER,NOTES,VERIFIED?
Goa Medical College,Government Hospital,ICU / Ventilators / Oxygen Beds,"8322458727/ 
 8322458049/ 
 8322458700/83222495169",Bambolim,"Goa Medical College, Bambolim 403202",,620,160 (ICU),Dr Bhandekar (Dean) / Dr Viraj Khandeparkar,,"OPD of only Orthopaedics, Nuerosurgery, Medicine, Neurology, Cardiology, Oncology will be open from (10/05/2021-30/05/2021) rest all OPDs will be closed. Life saving and Limbsaving surgeries for needy will be carried out. Patient sent to CCRR if mild/ or asked to Home isolate. If oxygen levels below 95 only then admitted. Currently all beds full and first preference given to those already waiting in line in GMC",YES
Vision Hospital,Private Hospital,"1 ventilator bed, 1 high flow oxygen bed, 3 BiPAP",9112246688/ 8380084266,Mapusa,"Duler Ground Rd, Karaswada, Mapusa, Goa 403507",,23,7 (ICU), Mr. Savio / Dr. Chandrakant Shetye,8380084266 / 9822131128,PICKED UP CALL. NO COVID BEDS AVAILABLE AT THE MOMENT.,YES
Campal Clinic/ Criticare hospital,Private Hospital,,8322421600,Panjim,"Opp.Parade Grounds, Near Bal Bhavan, Campal, Panaji, Goa - 403001",,14,,Sandeep Kenkre,9822489589,"Check daily status on https://goaonline.gov.in/beds , Avoid calling. No beds available at the moment.",YES
Manipal Hospital,Private Hospital,"Ventilators, ICU, Oxygen, Covid wards, CT Scan",8888702222 / 7756073440,Panjim (Dona Paula),"Panaji, Dr E Borges Rd, Dona Paula, Goa 403004",,33,5 (ICU),Helpline Number,7756073440,NO beds available at the moment. They said to call after 4days. Check daily status on https://goaonline.gov.in/beds .,YES
Dr.Shyama Prasad Covid Centre,Government Covid Care Centre,Normal beds (dormitory type),8459625155,Panjim (Taleigao),"Dr Shyama Prasad Mukherjee Stadium,Taleigao plateau",This is Covid Care Centre. This is not a hospital,30-Male 35- Female,,,,Only for Tiswadi Taluka People.,YES.
Redkar Hospital & Research Centre,Private Hospital,"Ventilators, ICU, Oxygen, Covid wards","084460 51156 / 
 091468 85522",Pernem,"Mumbai-Goa National Highway, Oxelbag, Dhargal, Pernem, North Goa district, Goa. 403513.",,20,12 Oxygen,Dr. Praveen Sawant,7972642273,NO beds available at the moment.. Check daily status on https://goaonline.gov.in/beds .,YES
RG Stone Urology & Laparoscopy Hospital,Private Hospital,"Ventilators, ICU, Oxygen","0832 664 0664, 9518730614",Porvorim,"Plot No.217-218, PDA Colony Panjim-Mapusa Highway, Goa 403521",,13,1,Dr. Anjun Mahabari,9518730614,No beds available.,YES
PHC Cortalim,Government,Just Care Center,0832 2550274,Cortalim,"Cortalim-Racaim-Loutolim-Borim, Zamboll, Quelossim, Goa 403710",,-,-,Dr. Soccoro Quadros,9011025063,Just a care center. everyday flue OPD available from 9am- 4.30pm,YES
Cansaulim Step Up Covid Hospital (Cansaulim PHC),Government Hospital,Beds,0832- 2754036,Cansaulim,"Primary Health Care Center Cansaulim, Near Cansaulim Railway Station, Dabolim-Cavelossim Road ",50,,Dr. Soccoro Quadros,9011025063,"Under Cansaulim PHC, this facility is focussed for covid positive persons with co-morbidities",24 hrs casualty. Main new PHC building will be operational by Monday (May 10th).,YES
Nagarsenkar's Classic Hospital,Private Hospital,ICU / Ventilator / Oxygen beds,"0832 271 1014 / 0832 271 1013
 99230 70742",Margao,"Malbhat, Margao, Goa 403601",,8+4,All oxygen beds ,CEO Dr. Liston Baretto,9923070742,,YES
CHC Sakhali,Government Hospital,,0832-2364258 / 2256224,Sakhali,"Sanquelim, Goa, 403505",,,,Dr. Uttam Desai,9011025021,,NO
CHC Canacona,Government Hospital,oxygen beds ,0832-2643422 / 2643339,Canacona,"Palolem, Cancona, Goa 403702",10,,,Dr. Vandana Desai,9011025067,,YES
CHC Curchorem,Government Hospital,no covid beds,0832- 2650566,Curchorem,"Kakoda, Vodlemol Cacora, Goa 403706",,,,Dr. Mohanrao P. Desai,9011025042,no covid beds,YES
CHC Valpoi,Government Hospital,,0832- 2375234 / 2374260,Valpoi,"SH 1, Valpoi, Goa 403506",,,,Dr. Sham Kankonkar,9011025942,,NO
CHC Pernem,Government Hospital,,0832 - 2291249,Pernem,"Pernem – Agarwada - Morjim, Goa 403512",,,,Dr. Vidhya Naik,7447769032,,NO
CHC Bicholim,Government Hospital,,0832-2360402,Bicholim,"Bicholim, Goa 403529",,,,Dr. Medha Salkar,9011025053,,NO
PHC Aldona,Government Hospital,"no covid beds available , just a Care Center",0832-2293251,Aldona,"Naicavaddo, Aldona, Goa 403508",,,,Dr. Preetam Naik,9011025025,"no covid beds available , just a care Center",YES
PHC Corlim,Government Hospital,no covid beds ,0832-2285769,Corlim,"Mangaddo, Corlim, Goa 403110",,,,Dr. Kedar Raikar,9011025020,no covid beds ,YES
PHC Betki,Government Hospital,,0832-2399658,Betki,"Ponda - Apewal - Querim - Savoi - Verem – Betqui - Marcela, Betqui, Goa 403107",,,,Dr. J. Brenda P. F. Pinto,9011025026,,NO
PHC Mayem,Government Hospital,,0832-2363024,Mayem,"Sharda Nagar, Maem, Goa 403504",,,,Dr. Siddhi Kansar,9011025027,,NO
PHC Candolim,Government Hospital,,0832-2489035,Candolim,"Candolim, Goa 403515",,,,Dr. Roshan Nazareth,9011025028,,NO
UHC Panjim,Government Hospital,,0832-2426495/ 2421327,Panjim,"3, 18th June Rd, Altinho, Panaji, Goa 403001",,,,Dr. Oswald Fernandes,9011025030,,NO
PHC Quepem,Government Hospital,,0832-2662636,Quepem,"MDR 40, Quepem, Goa 403705",,,,Dr. Lorna Fernandes,9011025034,,NO
PHC Madkai,Government Hospital,,0832-2392230,Marcaim,"Madkai, Goa 403404",,,,Dr. Utkarsh Jalmi,9011025035,,NO
PHC Chimbel,Government Hospital,,0832-2458933,Chimbel,"National Highway 4A, Ilhas, Ribandar, Goa 403006",Care Center,,,Dr. Jude D' Souza,9011025039,A covid care center ,YES
PHC Porvorim,Government Hospital,,0832-2411991,Porvorim,"Alto Porvorim, Penha de França, Goa 403501",,,,Dr. Vikas Naik,9011025040,,NO
PHC Shiroda,Government Hospital,Oxygen beds,0832-2307073,Shiroda,"Karai, Shiroda, Goa 403103",,,,Dr. Sunita Redkar,9011025041,,YES
UHC Margao,Government Hospital,,0832-2715004,Margao,"Padre Miranda Rd, Pajifond, Margao, Goa 403601",,,,Dr. Anju R. Kharanghate,9011025043,,NO
PHC Balli,Government Hospital,,0832-2670216,Balli,"Bali, Cavorem, Goa 403703",,,,Dr. Tulsimamata Kakodkar,9011025044,,NO
PHC Cansarvarne,Government Hospital,,0832-2205222,Cansarvarne,,,,,Dr. Damodar Narvekar,9011025045,,NO
PHC Navelim,Government Hospital,,0832-2710700,Navelim,"Navelim, Goa 403707",,,,Dr. Prajakt Kamurlkar,9011025047,,NO
PHC Pillem Dharbandora,Government Hospital,,0832-2344221,Pillem Dharbandora,"Dharbandora, South Goa District, Goa, 403406",,,,Dr. Sandesh Madkaikar,9011025048,,NO
