NAME OF SUPPLIER,CONTACT NUMBERS,LOCATION,ADDRESS,DELIVERY AVAILABLE,WORK TIME,WORK DAYS,NOTES,VERIFIED?
Falcon Biomed (Melinda),7517537522 / 96373 99033 ,Panjim (St. Inez),"Shop No 17, Zarina Tower, Panjim, Goa - 403001, St Inez",Yes,24*7,24*7,oxygen concentrators on rent available ₹300 per day,YES
Fredrick Menezes (Rolex Engg and Trading Co),9096512381,Vasco,"Rolex Engineering and Trading Company, Menezes House, Mangor Hill, Vasco da Gama",Yes,24*7,24*7,"Double Gauge Regulator with flow meter Rs.4,800 (stock 6sets) Single Gauge Regulator with flow meter Rs. 3,500 (stock 4sets) Humidifier Rs. 840 (stock 10 nos) Oximeters Rs. 1,200 (stock 30 nos) Spryometer Rs. 450( stock 05 nos) Oxygen Mask Regular Rs. 395 (stock 100 nos) Bipap Mask Rs. 5,500 (stock 03 nos) Cylinder Keys Rs. 118 (stock 70 nos)",YES
India Youth Congress,8975000991,North Goa,Panjim,Yes,any time if in stock,any day,"Oxygen Cylinders, ",YES
Cuncolim Oxygen plant Ltd,7843977843 / 7588921888 / 8291479413 / 7350600930 / 9822122854,Cuncolim,"M-17, Cuncolim Industrial estate",No,24*7,24*7,Oxygen supply only to Hospitals,YES
Govind Poy Oxygen Limited - Mr. Krishna Kamat/Mr. Suresh,0832 2740321 / 9822498500 /9823738796/ 9665670222/ 0832274032,Margao,Arlem Raia,No,9.00 am - 5.30 pm,Monday - Saturday,"Big cylinders are available with Rs 16,000/- as deposite.",YES
Tee and Cee Enterprises,08322738774/9823072501(Owner -Tejas Borkar),Margao,"Kunde Complex, Shop No: G-15, Borda -Margao, Goa",No,9:00 am - 1:00 pm & 3:45 pm -6:45 pm,Monday - Saturday,"Only oxymeters available, no oxygen cylinders are sold",YES
HRS Goa (Sio Goa Zone),9112110088 / 9112110066,Panjim (Miramar),"2nd Floor, Sahil Manzil, Opp. Law College Miramar Panjim Goa 403001",No,9-5 mirramar office,Monday to Saturday ,Oxygen regulators and concerntrators on rental bases with small fixed deposit amount and they provide food also,YES
Scoop Industries Pvt. Ltd.,9765845364 / (0832) 2284685 / 08322285582/9822123715(Owner),Corlim,"Plot no. 13&6, Corlim Industrial Estate , Corlim ,Ilhas, Goa 403110",No,24*7,24*7,47 ltrs cylinders available with ₹5000 deposit and ₹300/- gas charges.A prescription from the physician treating the patient needs to be countersigned by a Health officer from any govt health centre.,YES
Ansan Medical Solutions,9552100679,Margao,"S-4, 2nd Floor,Bldg. A, Apna Bazar, Varde Valaulikar Road, Margao, Goa  (Landmark : Above Cafe Tato, Behind Grace Church)",Yes,"9:30 am -5:30 pm (in case of emergency , can contact at any time)","Monday - Saturday (in case of emergency ,can contact even on Sunday)","Oxygen Concentrator (10 ltr.) -Rs.84,000 including GST (currently not in stock ).Empty Oxygen Cylinder - Rs.18,000 (3 pcs. in stock). Oxygen regulator - Rs.3,600  (80 pcs. in stock) .NRB Mask -  (currently not in stock.). 3 ball spirometer  - Rs.400 (25 pcs. in stock.). Oxymeter -   Rs.900 (20 pcs in stock) & Rs.1100 (5 pcs in stock)",YES
IndiaNow Solutions,9175792220 (sms or whatsapp only),"Panjim, Margao",Near Panjim Municipal Market,Yes,10 am to 10 pm,all days,"Services/product : Oxygen Cylinders, Oxygen concentrators, regulators, flowmeters, masks,
Oxy cans, Liquid Medical Oxygen, oximeters, glucometers, etc.... (call  before 3 - 7 days in-advance)",YES
