Name,Location (Main Area + District),Address,Days ,Timings,Contact,Home Delivery (YES/NO) ,Delivery Areas,Home Delivery Charges,Any WhatsApp number (to message the list of meds for home delivery),Oximeter available (Yes/No) + Price ,"Remarks (availability of medicines/vitamins - Doxycycline, dolo, Vit C, Vit D, Zinc) + (protective equipment - N95 masks, surgical masks, steam inhaler) + general remarks",Verified
Savitriraj Medical Store,Bicholim/ NORTH GOA,"48- Ramchandra Niwas Bhaili, Bicholim Goa",MON-SAT,9am-2pm & 4pm-9:30pm,0832-2362312,YES,Bicholim Only,Free,- ,YES,"All above medicines, vitamins and protective equipment are AVAILABLE",YES
Shantadurga Medical Store,Candolim/ NORTH GOA,"Next to SBI, Fort Aguada road, Candolim",MON-SUN,9am-10pm,0832-2479771,YES,Candolim and Surrounding areas,Free,- ,YES,"All above medicines, vitamins and protective equipment are AVAILABLE. Antibiotics also available only on valid prescription",YES
Rushvi Medical ,Corlim/ NORTH  GOA,"Trupti Shirodkar, H. No. 155/3, Calvaddo, Near Chapel, Corlim Tiswadi Goa",MON-SUN,All  day,9049160587,YES,All Goa. Also through speed post,Petrol Charges or Speed Post Charges,- ,YES,"All above medicines, vitamins and protective equipment are AVAILABLE & Generic Pharmacy (Prices of medicines are lower)",YES
Lotsan Pharmacy,Divar/ NORTH GOA,Divar Island Goa ,MON-SUN,8am- 1pm & 4pm-9pm,0832-2280027,NO,N/A,N/A,N/A,YES ,"All above medicines, vitamins and protective equipment are AVAILABLE",YES
Avinash Medical Store,Old Goa/ NORTH GOA,"Shop no.3 Valankani Apts,Ella-Old Goa",MON-SUN,9am- 8:30pm & 9am-2pm (Sundays),9764214270,NO,N/A,N/A,N/A,YES,"All above medicines, vitamins and protective equipment are AVAILABLE",YES
ST. Anthony chemist and drug store,Benaulim/SOUTH Goa,"Shop No 9, Grande Pulvaddo, Flavino Melo Residency, Near Govt. Primary School, Benaulim, Salcete, Goa 403716

",MON- SAT,12pm - 1pm  & 5.30pm- 8.30pm,9767234348,NO,N/A,N/A,N/A,YES. RS.1500/-,"All above meds available. Face shields and masks(N95+ surgical), steam inhaler available. Ivermectin available.",YES
Namrata Medical,Corlim/ NORTH  GOA,"Corlim, Old Goa (Ahead of Corlim petrol pump, there is a road leading to Karmali lake. Pharmacy is on this road) ",MON - SAT,10 am - 2 pm & 4:30 pm - 10 pm,9588413560,NO,N/A,N/A,N/A,"YES. MRP is RS 4,000/-","All above medicines, vitamins and protective equipment are AVAILABLE",YES
Expert Pharmacy,Panjim/NORTH GOA,"TR Mansion Building, St. Inez Rd., Near Caculo Mall, St. Inez, Panjim Goa",MON-SUN,8am- 10pm & 10am-8pm( Sundays),0832- 2221555 & 8788870844( For deliveries),YES ( Only for orders above Rs. 1000 ),"Dona Paula, Calangute, Panjim",Free,8788870844,YES Rs. 2450,Medicines Available+ PPE Kit( Rs 2000 or Rs 1500 for more than 5 pieces) ,YES
LifecareX,Porvorim,,24x7,24x7,83222416241,YES,PANJIM TO MAP,FREE,83222416241,YES Rs 3000 and Rs 4000,All Medicines available. Protective equipment available. Steam inhaler available. Ivermeticin available.,YES
Medicross Pharmacy,Chicalim/South Goa,"Prime Harmony, MP-2, Airport Rd, Chicalim, Goa 403711


",MON-SUN,8am - 11pm,8956680270,YES,"Chicalim, Dabolim,New Vaddem, Vasco, ",Free,8956680270,"YES, Rs 1700",All medicines & protective equipment available. PPE kit @900/-. Portable oxygen system 8 litres available @599/-,YES
